Date,Date,Open,High,Low,Close
2021-01-04,2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938
2021-01-05,2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594
2021-01-06,2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211
2021-01-07,2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453
2021-01-08,2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578
2021-01-11,2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906
2021-01-12,2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578
2021-01-13,2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844
2021-01-14,2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938
2021-01-15,2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844
2021-01-19,2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469
2021-01-20,2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688
2021-01-21,2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875
2021-01-22,2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875
2021-01-25,2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453
2021-01-26,2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938
2021-01-27,2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375
2021-01-28,2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062
2021-01-29,2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672
2021-02-01,2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844
2021-02-02,2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406
2021-02-03,2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625
2021-02-04,2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844
2021-02-05,2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594
2021-02-08,2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938
2021-02-09,2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594
2021-02-10,2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844
2021-02-11,2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125
2021-02-12,2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875
2021-02-16,2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625
2021-02-17,2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062
2021-02-18,2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672
2021-02-19,2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875
2021-02-22,2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0
